Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25.0,2000.0,3,1,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0465116279069768,8.372093023255815,3.13953488372093,0.0,0.0,0.0,2.0930232558139537,2.0930232558139537,1.0465116279069768,0.0,0.0,76.3953488372093,1.0465116279069768,1.0465116279069768,0.0,0.0,0.0,0.0,0.0,7.325581395348838,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0
1,Max Aarons,eng ENG,MF,Valencia,es La Liga,25.0,2000.0,1,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.806451612903226,8.709677419354838,0.0,0.0,0.0,2.903225806451613,2.903225806451613,0.0,0.0,0.0,69.6774193548387,0.0,2.903225806451613,2.903225806451613,0.0,0.0,0.0,0.0,11.612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,16000000.0
2,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003.0,1,1,65,0.0,0.0,0.0,1.3846153846153846,0.0,0.13846153846153847,0.13846153846153847,0.0,4.153846153846154,2.769230769230769,4.153846153846154,1.3846153846153846,0.0,0.0,4.153846153846154,2.769230769230769,1.3846153846153846,0.0,0.0,49.84615384615385,0.0,0.0,2.769230769230769,2.769230769230769,0.0,0.0,0.0,2.769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,
3,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21.0,2004.0,6,0,88,0.0,0.0,0.0,1.0227272727272727,0.0,0.10227272727272729,0.10227272727272729,0.0,3.068181818181818,4.090909090909091,1.0227272727272727,1.0227272727272727,0.0,0.0,4.090909090909091,2.0454545454545454,1.0227272727272727,3.068181818181818,0.0,66.47727272727273,0.0,1.0227272727272727,3.068181818181818,4.090909090909091,0.0,0.0,0.0,7.159090909090909,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,120.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
5,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987.0,12,11,976,0.0,0.0,0.0,0.18442622950819673,0.0,0.018442622950819672,0.018442622950819672,0.009221311475409836,0.36885245901639346,2.028688524590164,0.2766393442622951,0.18442622950819673,0.09221311475409837,0.18442622950819673,1.567622950819672,1.014344262295082,1.1987704918032787,5.163934426229508,0.09221311475409837,58.09426229508196,0.2766393442622951,0.7377049180327869,0.2766393442622951,1.4754098360655739,0.0,0.0,0.0,3.872950819672131,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999.0,24,24,2132,0.25328330206378985,0.04221388367729831,0.12664165103189493,0.08442776735459662,0.0,0.23639774859287055,0.10131332082551595,0.11819887429643527,3.5881801125703565,6.75422138836773,3.925891181988743,0.9709193245778612,0.25328330206378985,1.2664165103189493,1.5196998123827392,1.0553470919324577,0.7598499061913696,0.8020637898686679,0.04221388367729831,65.22045028142588,2.026266416510319,1.6885553470919326,1.5196998123827392,1.5619136960600375,0.0,0.0,0.0,5.614446529080675,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0
7,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26.0,1999.0,9,7,609,0.0,0.0,0.0,0.29556650246305416,0.0,0.0,0.0,0.0,0.29556650246305416,3.8423645320197046,0.4433497536945813,0.0,0.0,0.0,2.512315270935961,1.7733990147783252,1.9211822660098523,5.763546798029557,0.14778325123152708,60.59113300492611,0.29556650246305416,0.29556650246305416,0.29556650246305416,0.5911330049261083,0.0,0.0,0.0,4.58128078817734,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
8,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993.0,17,11,941,0.19128586609989373,0.19128586609989373,0.19128586609989373,0.09564293304994687,0.0,0.11477151965993623,0.11477151965993623,0.1339001062699256,2.5823591923485654,2.773645058448459,5.6429330499468655,1.5302869287991498,0.4782146652497343,1.2433581296493093,2.3910733262486716,1.5302869287991498,1.0520722635494155,2.6780021253985122,0.0,55.56854410201913,0.8607863974495219,1.9128586609989373,0.9564293304994687,1.5302869287991498,0.0,0.0,0.0,4.3039319872476085,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0
9,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,0.0,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0878048780487805,2.1951219512195124,3.951219512195122,11.414634146341463,0.43902439024390244,0.0,0.8780487804878049,1.3170731707317074,0.8780487804878049,0.8780487804878049,0.0,0.0,68.92682926829268,0.8780487804878049,2.1951219512195124,0.43902439024390244,0.8780487804878049,0.0,0.43902439024390244,0.0,1.3170731707317074,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
10,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000.0,25,14,1478,0.12178619756427606,0.0,0.12178619756427606,0.12178619756427606,0.0,0.024357239512855212,0.024357239512855212,0.04262516914749662,2.253044654939107,3.4100135317997293,3.470906630581867,0.5480378890392422,0.18267929634641406,0.5480378890392422,2.313937753721245,1.5832205683355887,0.7916102841677943,2.801082543978349,0.12178619756427606,56.021650879566984,0.4871447902571042,1.1569688768606226,0.6089309878213802,0.9133964817320704,0.0,0.0,0.0,5.115020297699594,0.0,0.0,0.0,0.0,0.0,0.0,
11,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,22.0,2002.0,7,4,263,0.0,0.0,0.0,0.34220532319391633,0.0,0.0,0.0,0.0,0.6844106463878327,2.0532319391634983,0.6844106463878327,0.6844106463878327,0.0,0.34220532319391633,2.0532319391634983,1.3688212927756653,0.0,1.7110266159695817,0.0,29.771863117870723,0.34220532319391633,0.34220532319391633,0.34220532319391633,2.3954372623574143,0.0,0.0,0.0,2.7376425855513307,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
12,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1996.0,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,25,24,1990,0.31658291457286436,0.04522613065326633,0.271356783919598,0.09045226130653267,0.0,0.3256281407035176,0.2894472361809045,0.12663316582914572,2.261306532663317,1.492462311557789,5.834170854271357,2.7135678391959797,0.9949748743718594,0.9045226130653267,0.45226130653266333,0.18090452261306533,0.09045226130653267,1.1758793969849246,0.04522613065326633,28.85427135678392,1.673366834170854,3.301507537688442,2.170854271356784,0.9949748743718594,0.0,0.0,0.0,2.8944723618090453,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0
14,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,14,9,820,0.10975609756097561,0.10975609756097561,0.10975609756097561,0.10975609756097561,0.0,0.021951219512195124,0.021951219512195124,0.09878048780487805,2.4146341463414633,5.597560975609756,5.2682926829268295,0.6585365853658537,0.32926829268292684,1.0975609756097562,2.1951219512195124,1.5365853658536586,0.5487804878048781,3.5121951219512195,0.0,65.08536585365853,0.5487804878048781,1.3170731707317074,0.7682926829268293,1.2073170731707317,0.0,0.0,0.0,4.060975609756097,0.0,0.0,0.0,0.0,0.0,0.0,9000000.0
