Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur
1309,Gianluca Lapadula,pe PER,"FW,MF",Cagliari,it Serie A,35.0,1990.0,12,1,310,0.0,0.0,0.0,0.2903225806451613,0.0,0.4064516129032258,0.4064516129032258,0.02903225806451613,2.032258064516129,2.032258064516129,4.645161290322581,4.354838709677419,0.8709677419354839,0.8709677419354839,0.5806451612903226,0.0,0.0,0.2903225806451613,0.0,27.870967741935484,0.0,1.7419354838709677,0.2903225806451613,2.6129032258064515,0.0,0.0,0.0,1.4516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
1310,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,29.0,1995.0,23,16,1244,0.3617363344051447,0.14469453376205788,0.28938906752411575,0.28938906752411575,0.0,0.3906752411575563,0.33279742765273307,0.09405144694533762,0.9405144694533761,0.7958199356913184,5.064308681672026,1.8810289389067523,0.7234726688102894,0.4340836012861737,0.5064308681672026,0.21704180064308684,0.07234726688102894,0.7234726688102894,0.0,28.287781350482316,0.9405144694533761,3.1832797427652735,3.0385852090032155,1.5192926045016077,0.07234726688102894,0.0,0.0,2.387459807073955,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0
1311,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,28.0,1997.0,25,25,2250,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.7599999999999999,0.0,39.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,2.28,4.12,2.876,0.12,0.48,0.08,3500000.0
1312,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,20.0,2004.0,24,20,1729,0.15615962984384038,0.0,0.15615962984384038,0.10410641989589357,0.0,0.145748987854251,0.145748987854251,0.05725853094274148,0.6246385193753615,4.7368421052631575,1.1972238288027761,0.7807981492192019,0.4164256795835743,0.8849045691150954,1.6136495083863507,0.989010989010989,1.0931174089068827,1.3013302486986698,0.05205320994794679,55.905147484094854,0.31231925968768076,0.6766917293233082,0.3643724696356275,0.728744939271255,0.0,0.05205320994794679,0.0,4.528629265471371,0.0,0.0,0.0,0.0,0.0,0.0,35000000.0
1313,Juanmi Latasa,es ESP,FW,Valladolid,es La Liga,23.0,2001.0,19,6,731,0.24623803009575923,0.0,0.24623803009575923,0.615595075239398,0.12311901504787962,0.2954856361149111,0.2954856361149111,0.036935704514363885,0.24623803009575923,1.1080711354309165,3.20109439124487,2.954856361149111,0.615595075239398,0.7387140902872777,0.12311901504787962,0.0,0.0,0.7387140902872777,0.12311901504787962,26.34746922024624,0.24623803009575923,1.7236662106703147,1.7236662106703147,3.3242134062927495,0.0,0.0,0.0,1.8467852257181943,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
1314,Toni Lato,es ESP,DF,Mallorca,es La Liga,27.0,1997.0,7,4,358,0.0,0.0,0.0,0.0,0.25139664804469275,0.0,0.0,0.1005586592178771,2.2625698324022347,4.022346368715084,5.279329608938547,0.0,0.0,1.2569832402234635,2.2625698324022347,1.5083798882681565,0.7541899441340782,4.776536312849162,0.0,61.592178770949715,0.7541899441340782,1.2569832402234635,0.25139664804469275,2.2625698324022347,0.0,0.0,0.0,4.022346368715084,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0
1315,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,21.0,2004.0,10,8,532,0.0,0.16917293233082706,0.0,0.6766917293233082,0.0,0.03383458646616542,0.03383458646616542,0.11842105263157894,0.5075187969924811,2.87593984962406,1.0150375939849623,0.16917293233082706,0.0,1.0150375939849623,2.87593984962406,1.6917293233082706,1.8609022556390977,0.8458646616541353,0.0,56.84210526315789,0.8458646616541353,0.16917293233082706,1.0150375939849623,1.6917293233082706,0.0,0.16917293233082706,0.0,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0
1316,Valentino Lazaro,at AUT,"DF,FW",Torino,it Serie A,28.0,1996.0,27,22,1923,0.0,0.28081123244929795,0.0,0.14040561622464898,0.0,0.0374414976599064,0.0374414976599064,0.14508580343213728,1.497659906396256,2.854914196567863,5.054602184087364,0.608424336973479,0.093603744149766,1.263650546021841,1.1700468018720749,0.514820592823713,0.421216848673947,1.7784711388455536,0.046801872074883,54.945397815912635,0.7956318252730109,1.263650546021841,0.514820592823713,1.1700468018720749,0.0,0.046801872074883,0.0,3.7441497659906395,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0
1317,Darko Lazović,rs SRB,"DF,FW",Hellas Verona,it Serie A,34.0,1990.0,24,17,1393,0.06460875807609476,0.19382627422828427,0.0,0.0,0.0,0.12921751615218952,0.07753050969131371,0.21966977745872218,1.3567839195979898,2.261306532663317,5.491744436468054,1.098348887293611,0.12921751615218952,1.1629576453697057,1.2275664034458005,0.5814788226848528,0.7106963388370423,2.5197415649676955,0.0,39.798994974874375,0.8399138549892319,0.6460875807609475,0.45226130653266333,0.5814788226848528,0.06460875807609476,0.0,0.0,3.488872936109117,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
1318,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,31.0,1993.0,20,12,1066,0.0,0.08442776735459662,0.0,0.08442776735459662,0.0,0.008442776735459663,0.008442776735459663,0.07598499061913697,4.390243902439025,4.559099437148218,6.416510318949343,0.33771106941838647,0.08442776735459662,1.1819887429643527,1.6041275797373358,1.0975609756097562,0.5065666041275797,1.1819887429643527,0.0,58.08630393996248,0.5065666041275797,1.6885553470919326,0.25328330206378985,0.5909943714821764,0.0,0.08442776735459662,0.0,2.7861163227016883,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
